name,category,Latitude,longitude,Address,Hours,Handicap,Editor,Image,num of handi,num of cat
STARBUCKS,Coffee Shop,40.713054,-74.009584,"100 Church Street  New York NY, 10007",,No,101,,2,2
STARBUCKS,Coffee Shop,40.711736,-74.007287,"38 Park Row  New York NY, 10038",,No,101,,2,2
STARBUCKS,Coffee Shop,40.710458,-74.009601,"195 Broadway  New York NY, 10007",,No,101,,2,2
STARBUCKS,Coffee Shop,40.709669,-74.010274,"165 Broadway  New York NY, 10006",,No,101,,2,2
STARBUCKS,Coffee Shop,40.708412,-74.007394,"100 William Street  New York NY, 10038",,No,101,,2,2
STARBUCKS,Coffee Shop,40.708793,-74.009402,"55 Liberty Street  New York NY, 10005",,No,101,,2,2
STARBUCKS,Coffee Shop,40.714135,-74.015142,"250 Vesey Street  New York NY, 10281",,No,101,,2,2
STARBUCKS,Coffee Shop,40.708684,-74.0111,"115 Broadway  New York NY, 10006",,No,101,,2,2
STARBUCKS,Coffee Shop,40.706478,-74.009904,"45 Wall Street  New York NY, 10005",,No,101,,2,2
STARBUCKS,Coffee Shop,40.706021,-74.00714,"80 Pine Street  New York NY, 10005",,No,101,,2,2
STARBUCKS,Coffee Shop,40.705232,-74.011378,"55 Broad Street  New York NY, 10004",,No,101,,2,2
STARBUCKS,Coffee Shop,40.704753,-74.013166,"2 Broadway  Manhattan NY, 10004",,No,101,,2,2
STARBUCKS,Coffee Shop,40.754397,-73.976339,"230 Park Avenue  New York NY, 10169",,,,,,2
STARBUCKS,Coffee Shop,40.75637,-73.976831,"400 Madison Avenue  New York NY, 10016",,,,,,2
STARBUCKS,Coffee Shop,40.74368,-73.976848,"585 2nd Avenue  New York NY, 10016",,,,,,2
STARBUCKS,Coffee Shop,40.779822,-73.976871,"267-275 Columbus Ave  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.779981,-73.977075,"338 Columbus Avenue  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.763665,-73.977495,"1380 Sixth Avenue  New York NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.751533,-73.97778,"125 Park Ave  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.763791,-73.978371,"120 W. 56th Street  New York NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.764727,-73.978477,"142 W. 57th Street  New York NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.753666,-73.978487,"335 Madison Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.762698,-73.978543,"1345 6th Ave  New York NY, 10105",,,,,,2
STARBUCKS,Coffee Shop,40.756425,-73.978581,"575 Fifth Avenue  New York NY, 10036",,,,,,2
STARBUCKS,Coffee Shop,40.761789,-73.978886,"1320 Avenue of the Americas  Manhattan NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.753456,-73.978962,"330 Madison Ave  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.750619,-73.979049,"90 Park Ave  New York NY, 10016",,,,,,2
STARBUCKS,Coffee Shop,40.758671,-73.979061,"30 Rockefeller Plaza  New York NY, 10020",,,,,,2
STARBUCKS,Coffee Shop,40.755217,-73.979464,"545 Fifth Ave.  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.760932,-73.979508,"1290 6th Ave  New York NY, 10104",,,,,,2
STARBUCKS,Coffee Shop,40.751916,-73.979773,"295 Madison Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.764588,-73.98088,"870 7th Avenue  New York NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.73309,-73.980905,"286 First Avenue  New York NY, 10003",,,,,,2
STARBUCKS,Coffee Shop,40.781106,-73.981034,"2140 Broadway  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.761699,-73.981165,"156 W 52nd St  New York NY, 10019",,,,,,2
Starbucks,Coffee Shop,40.74392028,-73.99193287,750 6th Avenue,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.746628,-73.981399,"3 Park Avenue  New York NY, 10017",,,,,,2
Starbucks,Coffee Shop,40.74198566,-73.98067832,395 Third Avenue,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.740709,-73.981936,"296-300 Third Avenue  New York NY, 10010",,,,,,2
STARBUCKS,Coffee Shop,40.715434,-74.008729,"125 Chambers Street  New York NY, 10007",,No,101,,2,2
Starbucks,Coffee Shop,40.77108842,-73.9568603,1449 Second Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.72989708,-73.9906776,51 Astor Place,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.757667,-73.982217,"1185 Sixth Avenue  New York NY, 10036",,,,,,2
STARBUCKS,Coffee Shop,40.764181,-73.982279,"1710 Broadway  New York NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.777441,-73.982314,"2045 Broadway  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.769273,-73.982344,"1841 Broadway  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.74861,-73.982499,"200 Madison Avenue  New York NY, 10016",,,,,,2
STARBUCKS,Coffee Shop,40.763045,-73.983176,"1675 Broadway  Manhattan NY, 10019",,,,,,2
STARBUCKS,Coffee Shop,40.766892,-73.983628,"322 West 57th Street  New York NY, 10019",,,,,,2
Starbucks,Coffee Shop,40.84134651,-73.93989801,4001 Broadway,Daily 5:30am-12am,No,165,,2,2
Starbucks,Coffee Shop,40.61954334,-73.98959398,"6423 18th Ave  Brooklyn, NY 11204",Business Hours,No,140,,2,2
Starbucks,Coffee Shop,40.77127936,-73.98234397,Columbus Ave off Harkness Plaza,12 hours,No,162,,2,2
STARBUCKS,Coffee Shop,40.762196,-73.983396,"1656 Broadway  New York NY, 10019",,,,,,2
Starbucks,Coffee Shop,40.76028507,-73.9844656,Broadway & 48 St,Open Hours,No,101,,2,2
Starbucks,Coffee Shop,40.77128952,-73.9823252,63 W. 63rd st. NY,,No,162,,2,2
Starbucks Below Rockefeller Center,Coffee Shop,40.75938302,-73.98043156,49th St. and 6th Ave Subway entrance,07월 24일,Yes,101,,1,2
Starbucks,Coffee Shop,40.76754167,-73.98304939,58th St. next to 8th ave,,No,101,,2,2
Starbucks,Coffee Shop,40.76684286,-73.98356438,320 W 57th St,"M-F 5:30am - 11pm, Sat 6am - 11pm, Sun 6am - 10pm",Yes,101,,1,2
STARBUCKS,Coffee Shop,40.76765543,-73.98216963,"4 Columbus Circle, New York, NY 10019",,No,168,,2,2
Starbucks Coffee,Public,40.71886749,-74.00265098,405 Broadway,M-Th 5:30-10:00 Sat-Sun 6:30-10:00,No,174,,2,5
Starbucks,Coffee Shop,40.75785519,-73.98548484,"1530 Broadway New York, NY 10036",Mon-Thurs: 5:30 a.m.-Midnight; Sun-Sat: 6:00 a.m.-Midnight,No,176,,2,2
Starbucks,Coffee Shop,40.76176815,-73.97907168,"W 53rd & Ave Americas, New York, NY&#8206;",,No,177,,2,2
Starbucks,Coffee Shop,40.70419241,-74.00907218,"10 Hanover Square, New York, NY 10005, USA",,No,206,,2,2
Starbucks,Coffee Shop,40.70519688,-74.00707126,"100 Wall St, New York, NY 10005",Monday - Friday : 7:00 AM - 8:00 PM,No,206,,2,2
Starbucks,Coffee Shop,40.7090926,-74.00551558,"Fulton St, New York, NY 10038",,Yes,206,,1,2
Starbucks ( Battery Park Plaza),Coffee Shop,40.71130874,-74.00854111,"1 Park Row, New York, NY 10038",Monday - Friday : 7:00 AM - 8:00 PM,No,206,,2,2
Starbucks,Coffee Shop,40.71216469,-74.00331885,"Park Row, New York, NY 10038",,No,206,,2,2
STARBUCKS,Coffee Shop,40.714915,-74.005861,"291 Broadway, New York NY, 10007",Monday - Friday : 7:00 AM - 8:00 PM,No,101,,2,2
STARBUCKS,Coffee Shop,40.715923,-74.00345,"111 Worth Street  New York NY, 10013",Monday - Friday : 7:00 AM - 8:00 PM,No,101,,2,2
Starbucks Coffee,Coffee Shop,40.71808279,-73.99979174,"241 Canal St, New York, NY 10013",M-F 5-11pm Sat/Sun 6-midnight,No,174,,2,2
STARBUCKS,Coffee Shop,40.721291,-74.00045,"471 Broadway  New York NY, 10013",Monday - Friday : 7:00 AM - 8:00 PM,No,101,,2,2
STARBUCKS,Coffee Shop,40.722384,-73.997642,"72 Spring Street,  New York NY, 10012",Monday - Friday : 7:00 AM - 8:00 PM,No,101,,2,2
Starbucks,Coffee Shop,40.72266484,-73.9979893,"Crosby St and Spring St , New York, NY 10012",Monday - Friday : 7:00 AM - 8:00 PM,No,206,,2,2
Starbucks,Coffee Shop,40.756215,-73.964282,"400 East 54th Street  New York NY, 10022",,No,,,2,2
Starbucks,Coffee Shop,40.760841,-73.983614,"750 Seventh Avenue  New York NY, 10019",,No,,,2,2
STARBUCKS,Coffee Shop,40.727437,-73.995248,"665 Broadway  New York NY, 10012",Mon - Fri: 7 AM - 8 PM,No,,,2,2
STARBUCKS,Coffee Shop,40.729368,-73.98727,"145 2nd Avenue  New York NY, 10003",,No,,,2,2
STARBUCKS,Coffee Shop,40.75056,-73.989262,"151 W. 34th Street  New York NY, 10001",Mon - Fri : 7 AM - 8 PM,No,,,2,2
STARBUCKS,Coffee Shop,40.75159,-73.990346,"450 7th Avenue  New York NY, 10017",Mon - Fri : 7 AM - 8 PM,No,,,2,2
STARBUCKS,Coffee Shop,40.752589,-73.99301,"494 Eighth Ave, New York, NY, 10001",,Yes,,,1,2
STARBUCKS,Coffee Shop,40.756765,-73.988362,"251 West 42nd Street  New York NY, 10036",Mon - Fri : 7 AM - 8 PM,No,,,2,2
STARBUCKS,Coffee Shop,40.756806,-73.985887,"1500 Broadway  New York NY, 10019",Mon - Fri : 7 AM - 8 PM,Yes,,,1,2
Starbucks,Coffee Shop,40.73366941,-74.00601715,"518 Hudson St, New York, 10014",,No,206,,2,2
Starbucks,Coffee Shop,40.733171,-74.002735,"72 Grove Street , New York,  NY, 10014",Mon - Fri : 7 AM - 8 PM,No,,,2,2
